"conceptTitel","countWork"
"Contrast (vision)","1"
"Computer vision","1"
"Pyrimidine","1"
"Biopsy","3"
"Stereotactic biopsy","1"
"Furanocoumarin","1"
"Malaria","1"
"Plasmodium falciparum","1"
"Artemisinin","1"
"Nanocages","4"
"Glycolysis","3"
"Anaerobic glycolysis","1"
"DECIPHER","1"
"Porous silicon","1"
"Antibiotic therapy","1"
"Cytosol","1"
"Lysosome","1"
"Plasma levels","1"
"Meta-analysis","1"
"MEDLINE","3"
"Systematic review","1"
"Scopus","1"
"Data extraction","1"
"Web of science","1"
"Radical","4"
"Dispersity","1"
"Epidemiology","1"
"Polymerase chain reaction","1"
"Digital polymerase chain reaction","1"
"Massive parallel sequencing","1"
"Ascorbic acid","1"
"Bifunctional","1"
"Siderophore","1"
"Ultrasonic sensor","1"
"Ultrasonic imaging","1"
"Small hairpin RNA","1"
"Environmental engineering","1"
"Boom","1"
"Microcirculation","1"
"Intravital microscopy","1"
"Voltage","1"
"Mechanics","1"
"Shock (circulatory)","1"
"Shock wave","1"
"Waveform","1"
"Growth inhibition","1"
"Epitope","1"
"Peptide vaccine","1"
"Humanities","1"
"Plant growth","1"
"Linker","1"
"Polyacrylic acid","2"
"Cell adhesion","1"
"Motility","1"
"Isotope","1"
"Recoil","1"
"Keratin","1"
"Ferritin","2"
"Capillary action","1"
"Capillary number","1"
"Interface (matter)","1"
"Supercritical fluid","1"
"Fibroin","1"
"SILK","1"
"Dissociation (chemistry)","1"
"Bone marrow","1"
"Avatar","1"
"Proteolysis","1"
"Kallikrein","1"
"Doping","2"
"Bridge (graph theory)","1"
"Ventricular assist device","1"
"Destination therapy","1"
"Nitroreductase","1"
"Non-coding RNA","1"
"Engineering ethics","3"
"Cartography","2"
"Cervical cancer","2"
"Bearing (navigation)","1"
"Interactome","1"
"Optical imaging","1"
"Microfluidics","1"
"Therapeutic index","2"
"Scavenger","1"
"Afatinib","1"
"Modular design","1"
"Toxin","1"
"Ricin","1"
"Hexokinase","1"
"Carcinoma","1"
"Transcription (linguistics)","1"
"Bone pain","1"
"CD47","1"
"Cancer cell lines","1"
"Salt (chemistry)","1"
"Base (topology)","1"
"Free base","1"
"Virus inactivation","1"
"Epirubicin","1"
"Fight-or-flight response","1"
"Transmission (telecommunications)","1"
"Uridine","1"
"Cytidine","1"
"Protocol (science)","1"
"Hepatocellular cancer","3"
"Chronic hepatitis","2"
"Antiviral treatment","1"
"Antiviral therapy","2"
"Rescue therapy","1"
"Metabolite","1"
"Oxidative phosphorylation","1"
"Glutaminolysis","1"
"Carbonic anhydrase","1"
"Cognitive psychology","1"
"Checklist","1"
"Retrospective cohort study","1"
"Health related quality of life","1"
"Neoadjuvant therapy","4"
"Commerce","1"
"On demand","1"
"Medical education","2"
"Library science","1"
"Bioconjugation","1"
"Current (fluid)","2"
"Beam (structure)","2"
"Biliary tract","2"
"Biliary tract cancer","2"
"Shell (structure)","1"
"Ultrasonography","1"
"Contrast-enhanced ultrasound","1"
"Fucoidan","1"
"Fusion protein","1"
"Protein aggregation","1"
"Senescence","3"
"Proteotoxicity","1"
"Cellular senescence","3"
"Causation","1"
"Montmorillonite","1"
"Frugality","1"
"Production (economics)","1"
"Monocyte","1"
"Prospective cohort study","1"
"Nanogel","2"
"Protocell","1"
"Term (time)","3"
"Pharmaceutics","1"
"Balance (ability)","1"
"Compass","1"
"Enhancer","1"
"Poly(amidoamine)","1"
"Amidoamine","1"
"Epigenome","2"
"Histone","2"
"Acetyltransferases","1"
"Acetylation","1"
"Histone Acetyltransferases","1"
"Stability (learning theory)","1"
"Coumarin","1"
"Arabidopsis","1"
"Strigolactone","1"
"B cell","1"
"Alkyne","1"
"Cycloaddition","1"
"Azide","1"
"Blood sampling","1"
"Blood cancer","2"
"Monolayer","1"
"Biotinylation","1"
"Particle physics","1"
"Resonance (particle physics)","1"
"IC50","1"
"Chemiluminescence","2"
"Obesity","1"
"Translational research","1"
"Optimism","1"
"Parenteral nutrition","2"
"Artificial nutrition","1"
"Gap junction","1"
"Carbenoxolone","1"
"Nanotube","1"
"Intermolecular force","1"
"Epidermoid carcinoma","1"
"Multicellular organism","1"
"Front cover","1"
"Blood–brain barrier","1"
"SWORD","1"
"Glycosidic bond","1"
"Radiomics","1"
"Cognitive reframing","1"
"Existentialism","1"
"Renal cell carcinoma","2"
"Cabozantinib","1"
"Necroptosis","1"
"Hippo signaling pathway","1"
"Maintenance therapy","1"
"Hydroxychloroquine","2"
"Microtubule","1"
"Kinesin","1"
"Histone deacetylase","1"
"Antibody-drug conjugate","1"
"Intervention (counseling)","2"
"Hormonal therapy","1"
"Lichen","1"
"Usnic acid","1"
"Programmed cell death 1","1"
"Chronic pain","1"
"Ipilimumab","1"
"Mitomycin C","1"
"Messenger RNA","1"
"Translation (biology)","1"
"RNase P","1"
"Exonuclease","1"
"Master regulator","1"
"Bleomycin","1"
"Etoposide","1"
"Transferrin receptor","1"
"Necrosis","1"
"Caesium","1"
"Neurotoxicity","1"
"Insulin","1"
"Metformin","1"
"Radiation Therapist","2"
"Trastuzumab","2"
"Ventricular function","1"
"P-glycoprotein","1"
"Fluorouracil","4"
"Response surface methodology","2"
"Cancer survivor","2"
"Lymph","1"
"Zinc","1"
"Starch","1"
"Metronidazole","1"
"Adverse Event Reporting System","1"
"Oral administration","1"
"Cardiovascular event","1"
"Drug administration","1"
"Carcinogen","1"
"Candida albicans","1"
"Quantum","1"
"Coupling (piping)","1"
"Optomechanics","1"
"Glycerol","1"
"Resection","1"
"Plasma medicine","1"
"Electric field","1"
"Electromagnetic field","1"
"Chromatin","1"
"Compaction","1"
"Geriatric oncology","2"
"Phosphodiesterase","1"
"Immunohistochemistry","2"
"Stroma","1"
"Frame (networking)","1"
"Column (typography)","1"
"Non-homologous end joining","1"
"Double strand","1"
"Germination","2"
"Risk stratification","1"
"Seed dormancy","1"
"Dormancy","2"
"Stratification (seeds)","1"
"Adjunct","1"
"Environmentally friendly","1"
"Calcium","1"
"Magnesium","1"
"Domain (mathematical analysis)","1"
"Oxaliplatin","1"
"Stimulus (psychology)","1"
"Organic molecules","1"
"Antiproton","1"
"Hemoglobin","1"
"Nivolumab","1"
"Quality of Life Research","1"
"Mathematical model","1"
"Constructive","1"
"Plan (archaeology)","1"
"Arc (geometry)","1"
"Host (biology)","1"
"Host response","1"
"Refractory (planetary science)","1"
"Prostate carcinoma","1"
"Prostate biopsy","1"
"Adaptation (eye)","1"
"Throughput","1"
"Malignant pleural effusion","1"
"Crizotinib","1"
"Economy","1"
"Service (business)","1"
"Cysteine","1"
"Benzene","1"
"Cadmium","1"
"Mammary tumor","1"
"Psychoanalytic theory","1"
"Compromise","1"
"Asbestos","1"
"Convention","2"
"Probiotic","1"
"Carbohydrate metabolism","1"
"TIGIT","1"
"Computer graphics (images)","1"
"Animation","1"
"Neutropenia","1"
"Oral microbiology","1"
"Urinary system","1"
"Nutrigenomics","1"
"Transcriptome","1"
"Boosting (machine learning)","1"
"Latrine","1"
"Sanitation","1"
"Urine","1"
"Opioid","1"
"Substance Abuse Detection","1"
"Rounding","1"
"Arithmetic","1"
"Division (mathematics)","1"
"Gellan gum","1"
"Interpretation (philosophy)","1"
"Multimodality","1"
"Imatinib","1"
"Imatinib mesylate","1"
"Nutrient","1"
"Medical therapy","1"
"Dignity","1"
"Life satisfaction","1"
"Psychological therapy","1"
"Diagnostic biomarker","1"
"Sedation","1"
"Control (management)","2"
"Construct validity","1"
"Alpha (finance)","1"
"Combustion","1"
"Cetuximab","1"
"Magneto","1"
"Association (psychology)","1"
"Image-guided radiation therapy","1"
"Aerospace engineering","1"
"Delta","1"
"Embryonic stem cell","1"
"Induced pluripotent stem cell","1"
"Human Induced Pluripotent Stem Cells","1"
"Pharmacist","1"
"Biosafety","1"
"MXenes","1"
"Nanopore","1"
"Closing (real estate)","1"
"Hyperbaric oxygen","1"
"Hyperbaric oxygenation","1"
"Risk factor","1"
"Factor (programming language)","1"
"Hormone therapy","1"
"Complication","1"
"Management","1"
"Endogeny","1"
"Biobank","1"
"Factorial","1"
"Factorial experiment","1"
"Dental care","1"
"Stem-cell therapy","1"
"Locked nucleic acid","1"
"Antisense therapy","1"
"Cystectomy","1"
"Gold standard (test)","1"
"High-intensity focused ultrasound","1"
"Biological system","1"
"Constraint (computer-aided design)","1"
"Cyclotron","1"
"Neutron radiation","1"
"G-quadruplex","1"
"Synthetic biology","1"
"Adrenocortical carcinoma","1"
"Mitotane","1"
"Systems biology","1"
"Physical fitness","1"
"Sponge","1"
"Trojan horse","1"
"Standard of care","1"
"Irrational number","1"
"Fluorophore","1"
"Inducer","1"
"Lipid raft","1"
